countriesAndTerritories;cases;deaths;popData2019
Afghanistan;49273;1971;38041757
Albania;48460;1001;2862427
Algeria;92102;2596;43053054
Andorra;7150;79;76177
Angola;16180;369;31825299
Anguilla;7;0;14872
Antigua_and_Barbuda;141;4;97115
Argentina;1498063;40764;44780675
Armenia;148682;2503;2957728
Aruba;4987;46;106310
Australia;28031;908;25203200
Austria;320036;4400;8858775
Azerbaijan;175874;1922;10047719
Bahamas;7660;163;389486
Bahrain;89143;348;1641164
Bangladesh;490485;7047;163046173
Barbados;259;7;287021
Belarus;160295;1263;9452409
Belgium;608001;17951;11455519
Belize;9291;195;390351
Benin;3180;43;11801151
Bermuda;399;9;62508
Bhutan;435;0;763094
Bolivia;147118;9018;11513102
Bonaire, Saint Eustatius and Saba;169;3;25983
Bosnia_and_Herzegovina;100953;3334;3300998
Botswana;12488;36;2303703
Brazil;6901952;181402;211049519
British_Virgin_Islands;73;1;30033
Brunei_Darussalam;64;3;433296
Bulgaria;179286;5685;7000039
Burkina_Faso;3931;68;20321383
Burundi;724;1;11530577
Cambodia;359;0;16486542
Cameroon;25071;442;25876387
Canada;460743;13431;37411038
Cape_Verde;11351;109;549936
Cayman_Islands;284;1;64948
Central_African_Republic;4931;63;4745179
Chad;1763;102;15946882
Chile;571763;15886;18952035
China;91962;4738;1433783692
Colombia;1425539;39051;50339443
Comoros;617;6;850891
Congo;6045;99;5380504
Costa_Rica;150860;1894;5047561
Cote_dIvoire;21600;133;25716554
Croatia;175886;2640;4076246
Cuba;9356;135;11333484
Cura̤ao;3613;10;163423
Cyprus;14985;78;875899
Czechia;580883;9613;10649800
Democratic_Republic_of_the_Congo;14467;352;86790568
Denmark;109758;941;5806081
Djibouti;5702;61;973557
Dominica;73;0;71808
Dominican_Republic;154692;2361;10738957
Ecuador;214362;9958;17373657
Egypt;121575;6920;100388076
El_Salvador;41848;1205;6453550
Equatorial_Guinea;5173;85;1355982
Eritrea;689;0;3497117
Estonia;18055;149;1324820
Eswatini;6762;127;1148133
Ethiopia;116757;1806;112078727
Falkland_Islands_(Malvinas);8;0;3372
Faroe_Islands;510;0;48677
Fiji;41;2;889955
Finland;30810;453;5517919
France;2377618;57804;67012883
French_Polynesia;15582;91;279285
Gabon;9324;62;2172578
Gambia;3779;122;2347696
Georgia;191063;1839;3996762
Germany;1337078;21975;83019213
Ghana;52946;324;30417858
Gibraltar;1006;5;33706
Greece;124534;3625;10724599
Greenland;9;0;56660
Grenada;57;0;112002
Guam;7046;117;167295
Guatemala;129257;4422;17581476
Guernsey;229;13;64468
Guinea;13415;79;12771246
Guinea_Bissau;2411;44;1920917
Guyana;5915;154;782775
Haiti;9550;234;11263079
Holy_See;21;0;815
Honduras;114307;2975;9746115
Hungary;283820;7129;9772756
Iceland;5557;28;356991
India;9884100;143355;1366417756
Indonesia;617820;18819;270625567
Iran;1108269;52196;82913893
Iraq;574634;12579;39309789
Ireland;75719;2129;4904240
Isle_of_Man;305;25;84589
Israel;357859;2999;8519373
Italy;1843283;64504;60359546
Jamaica;11689;272;2948277
Japan;179653;2585;126860299
Jersey;1704;30;107796
Jordan;259492;3365;10101697
Kazakhstan;186157;2552;18551428
Kenya;91867;1587;52573967
Kosovo;46291;1209;1798506
Kuwait;146218;911;4207077
Kyrgyzstan;77353;1755;6415851
Laos;30;0;7169456
Latvia;25604;349;1919968
Lebanon;146520;1200;6855709
Lesotho;2248;44;2125267
Liberia;1673;83;4937374
Libya;90761;1298;6777453
Liechtenstein;1468;18;38378
Lithuania;95126;822;2794184
Luxembourg;42177;396;613894
Madagascar;17584;258;26969306
Malawi;6050;185;18628749
Malaysia;83475;415;31949789
Maldives;13355;48;530957
Mali;5767;189;19658023
Malta;11049;166;493559
Marshall_Islands;3;0;58791
Mauritania;10777;222;4525698
Mauritius;372;7;1269670
Mexico;1250044;113953;127575529
Moldova;126438;2571;4043258
Monaco;668;2;33085
Mongolia;901;0;3225166
Montenegro;41341;581;622182
Montserrat;8;1;4991
Morocco;399513;6621;36471766
Mozambique;16944;142;30366043
Myanmar;108322;2267;54045422
Namibia;16528;160;2494524
Nepal;248423;1698;28608715
Netherlands;612746;10034;17282163
New_Caledonia;20;0;282757
New_Zealand;1740;25;4783062
Nicaragua;5883;161;6545503
Niger;2184;75;23310719
Nigeria;73175;1197;200963603
North_Macedonia;73638;2121;2077132
Northern_Mariana_Islands;102;0;57213
Norway;40022;387;5328212
Oman;126240;1471;4974992
Pakistan;440787;8832;216565317
Palestine;124610;1079;4981422
Panama;192762;3353;4246440
Papua_New_Guinea;724;8;8776119
Paraguay;93555;1952;7044639
Peru;984739;36675;32510462
Philippines;449400;8733;108116622
Poland;1135438;22859;37972812
Portugal;348736;5543;10276617
Puerto_Rico;106538;1248;2933404
Qatar;140961;240;2832071
Romania;556335;13385;19414458
Russia;2653928;46941;145872260
Rwanda;6609;56;12626938
Saint_Kitts_and_Nevis;16;0;52834
Saint_Lucia;272;4;182795
Saint_Vincent_and_the_Grenadines;91;0;110593
San_Marino;1956;51;34453
Sao_Tome_and_Principe;1005;17;215048
Saudi_Arabia;359755;6048;34268529
Senegal;17019;349;16296362
Serbia;266283;2330;6963764
Seychelles;180;0;97741
Sierra_Leone;2430;75;7813207
Singapore;58320;29;5804343
Sint_Maarten;1207;22;42389
Slovakia;132861;1175;5450421
Slovenia;96039;1458;2080908
Solomon_Islands;9;0;669821
Somalia;4576;121;15442906
South_Africa;860814;23276;58558267
South_Korea;43484;587;51225321
South_Sudan;3202;62;11062114
Spain;1728488;49134;46937060
Sri_Lanka;32790;152;21323734
Sudan;21383;1346;42813237
Suriname;5343;117;581363
Sweden;320098;7514;10230185
Switzerland;372329;5378;8544527
Syria;9150;516;17070132
Taiwan;740;7;23773881
Tajikistan;11975;65;9321023
Thailand;4237;60;69625581
Timor_Leste;30;0;1293120
Togo;3228;66;8082359
Trinidad_and_Tobago;6822;122;1394969
Tunisia;111307;3893;11694721
Turkey;993038;16140;82003882
Turks_and_Caicos_islands;764;5;38194
Uganda;27603;221;44269587
Ukraine;900553;15243;43993643
United_Arab_Emirates;184949;617;9770526
United_Kingdom;1849403;64170;66647112
United_Republic_of_Tanzania;496;20;58005461
United_States_of_America;16256754;299177;329064917
United_States_Virgin_Islands;1765;22;104579
Uruguay;9470;92;3461731
Uzbekistan;74990;612;32981715
Vanuatu;0;0;299882
Venezuela;107070;948;28515829
Vietnam;1397;35;96462108
Western_Sahara;760;1;582458
Yemen;2082;606;29161922
Zambia;18239;367;17861034
Zimbabwe;11238;306;14645473
